股票,行业,年化均值,年化波动率,偏度,峰度,最大回撤
万科A,房地产,-0.3233884819006211,0.3637566569903172,0.6561697145207713,3.27185372718339,-0.8656829029367015
广汽集团,汽车,-0.07159191331398318,0.3709075987497638,0.5455058538849071,3.3966371867946554,-0.6319884726224785
比亚迪,汽车,0.30604221375752,0.4329832557849098,0.3039958762097356,2.0913834297403344,-0.5253527764686313
顺丰控股,物流,0.015797199129116667,0.3246420578176204,0.37589374147657145,3.534047105113753,-0.7077282221403121
贵州茅台,白酒,0.06422110195282708,0.27698654225853636,0.2629388916851318,3.6140843042388386,-0.474821623998807
中国海油,能源,0.34480828575082567,0.35147665828726693,0.353027724242868,3.76234328606668,-0.31091217033631735
中国石油,能源,0.17507683734183527,0.2926052675962962,0.22625347469677046,5.146323548469655,-0.3253588516746412
中兴通讯,通讯,-0.0019349474204810252,0.42610118287942017,0.3092202227245657,2.4817263697101324,-0.6186684031299038
工商银行,银行,0.09269853147006706,0.16311262118981013,0.45462524113243336,5.790406611476656,-0.2016806722689075
招商银行,银行,0.046833125613854526,0.2772903133562003,0.26469492755792356,3.151884183062971,-0.50938042462278
